,overall_score,style_score,city,land,country,beer_type,abv,brewery,beer_name,calories,average_rating,review_average,weighted_average,description,served_in
2,93,52.0,Poznan,Greater Poland,Poland,Stout - Imperial,9.8%,Brovaria,Brovaria RIS,294 cal per 355ml,3.85,3.92,3.65,,Snifter
3,66,34.0,Poznan,Greater Poland,Poland,Porter - Baltic,9.0%,Brovaria,Brovaria Porter Bałtycki,270 cal per 355ml,3.67,3.57,3.38,21° Blg,English pint
4,49,49.0,Poznan,Greater Poland,Poland,Pale Ale - American (APA),6.8%,Brovaria,Brovaria Vermont IPA,204 cal per 355ml,3.54,3.38,3.26,15 Blg,Lager glass
5,42,21.0,Poznan,Greater Poland,Poland,IPA,6.5%,Brovaria,Brovaria Chmielowa Bomba,195 cal per 355ml,3.42,3.22,3.13,,Shaker
6,29,44.0,Poznan,Greater Poland,Poland,Weissbier - Hefeweizen,5.0%,Brovaria,Brovaria Pszeniczne,150 cal per 355ml,3.15,2.99,2.98,"Brovaria Pszeniczne jest piwem typu Hefe Weizen, górnej fermentacji, w odróżnieniu od klasycznych piw Brovarii (Pils, Miodowe) będących piwami dolnej fermentacji. Jest to piwo o intensywnej łamanej słomkowej barwie, produkowane z dwóch rodzajów słodu: jęczmiennego oraz specjalnego słodu pszennego. Brovaria Pszeniczne ma delikatny smak z nutami bananów i goździków, o…",Weizen
7,18,42.0,Poznan,Greater Poland,Poland,Pilsener / Pils / Pilsner,5.2%,Brovaria,Brovaria Pils,156 cal per 355ml,2.92,2.81,2.83,"Brovaria Pils jest piwem typu Pilsener, dolnej fermentacji, produkowanym wyłącznie ze słodu pilzneńskiego. Jego charakterystyczną barwę starego złota przełamują delikatne słomkowe przebłyski. Tradycyjny przyciemniany smak pochodzi od klasycznej dekokcyjnej metody zacierania, a intensywna kwiatowo-ziołowa goryczka to zasługa szlachetnych olejków chmielowych. Brovaria Pils jest wysoko…",Flute
8,14,26.0,Poznan,Greater Poland,Poland,Flavored - Other,5.0%,Brovaria,Brovaria Miodowe,150 cal per 355ml,2.78,2.70,2.74,"Brewed with honey.
Brovaria Miodowe to piwo typu Märzen, dolnej fermentacji. Produkowane jest ze specjalnej mieszanki słodów: pilzneńskiego, monachijskiego i karmelowego. Średnio chmielone, z dodanym w procesie warzenia najwyższej jakości wielokwiatowym miodem…",Lager glass
39,99,97.0,Wrocław,Lower Silesian,Poland,Barley Wine / Wheat Wine / Rye Wine,12.5%,Doctor Brew,"Doctor Brew Barley Wine 27,5 Bourbon BA",375 cal per 355ml,4.04,3.94,3.88,"Empirycznie: PIWO PEŁNE KLASY,LEŻAKOWANE PONAD ROK, NASYCONE DO GRANIC MOŻLIWOŚCI KOKOSOWO-WANILIOWO-MIGDAŁOWYM AROMATEM BOURONOWEJ BECZKI. ROZKOSZĄ JEST JEGO ZAPACH, KTÓREGO OBECNOŚĆ ZOSTAWIA SWÓJ ŚLAD... ZAPAMIĘTASZ TO NA DŁUGO.…",Snifter
40,97,99.0,Poznań,Greater Poland,Poland,IPA - Belgian / Saison,8.1%,Browar Szalpiw,Szałpiw Szczun,243 cal per 355ml,3.88,3.78,3.77,Cross between a Trippel and an American IPA.,
41,97,71.0,Wrocław,Lower Silesian,Poland,Stout - Imperial,12.5%,Doctor Brew,"Doctor Brew Russian Imperial Stout 27,5 Bourbon BA",375 cal per 355ml,3.89,3.84,3.73,,Snifter
